"Loc","Loc Zn","Loc Name","Loc Purp Desc","Loc/QTI","Flow Ind","DC","OPC","TSQ","OAC","IT","Auth Overrun Ind","Nom Cap Exceed Ind","All Qty Avail","Qty Reason"
"100734","WEST TEXAS","3 BEAR LEA","M2","RPQ","R","55000","60000","39922","20078","Y","N","N","Y",""
"60152","CENTRAL","ABO FUEL DEL","MQ","DPQ","D","5000","5000","1100","3900","Y","N","N","Y",""
"28786","PANHANDLE","ADOBE OWENS CORNING","MQ","DPQ","D","13000","13000","3000","10000","N","N","N","Y",""
"500307","CENTRAL","AGAVE LONG ARROYO MQ","M2","RPQ","R","70000","70000","2000","68000","Y","N","N","Y",""
"57274","PANHANDLE","ANR/TW RED DEER","M2","RPQ","R","200000","220000","2138","217862","Y","N","N","Y",""
"79049","PANHANDLE","ATMOS AIRPORT I/C","MQ","DPQ","D","250","250","1","249","N","N","N","Y",""
"79052","PANHANDLE","ATMOS CANYON WEST I/C","MQ","DPQ","D","3000","3000","1500","1500","N","N","N","Y",""
"79058","PANHANDLE","ATMOS PAMPA NORTH","MQ","DPQ","D","15600","15600","4500","11100","N","N","N","Y",""
"57245","WEST TEXAS","ATMOS PIPELINE  WARD","M2","RPQ","R","85000","85000","40257","44743","Y","N","N","Y",""
"500154","WEST TEXAS","ATMOS PIPELINE PECOS","MQ","DPQ","D","95000","95000","3000","92000","N","N","N","Y",""
"78474","PANHANDLE","ATMOS RANDALL COUNTY","MQ","DPQ","D","120000","120000","25798","94202","N","N","N","Y",""
"100732","PHOENIX","Arlington Valley Plant","MQ","DPQ","D","250000","250000","16800","233200","N","N","N","Y",""
"500536","SAN JUAN2","BP FLORIDA PLANT I/C","M2","RPQ","R","360000","360000","83421","276579","Y","N","N","Y",""
"78113","W. THOREAU","CALPINE SO. POINT POWER DEL","MQ","DPQ","D","90000","100000","20000","80000","N","N","N","Y",""
"9198","PANHANDLE","CIG TUMBLEWEED REC CIG TW","M2","RPQ","R","40000","40000","622","39378","Y","N","N","Y",""
"78508","SAN JUAN","CORTO INTERCONNECT","MQ","DPQ","D","100000","100000","19811","80189","N","N","N","Y",""
"79035","CENTRAL","COYOTE INTERCONNECT","MQ","DPQ","D","3500","3500","1300","2200","Y","N","N","Y",""
"56339","CENTRAL","DAGGER DRAW","M2","RPQ","R","55000","55000","52826","2174","N","N","N","Y",""
"78477","PANHANDLE","DAIRICONCEPTS - ROOSEVELT","MQ","DPQ","D","6000","6000","1485","4515","N","N","N","Y",""
"10703","CENTRAL","DCP Artesia","M2","RPQ","R","43000","38000","25377","12623","Y","N","N","Y",""
"79069","CENTRAL","DCP ZIA II","M2","RPQ","R","125000","125000","54000","71000","Y","N","N","Y",""
"13199","CENTRAL","EASTERN NEW MEXICO ROOSEVELT","MQ","DPQ","D","10000","10000","419","9581","N","N","N","Y",""
"500540","SAN JUAN2","EL PASO BLANCO I/C","MQ","DPQ","D","440000","440000","36386","403614","N","N","N","Y",""
"500179","W. THOREAU","EL PASO WINDOW ROCK","M2","RPQ","R","430000","430000","20263","409737","N","N","N","Y",""
"79064","PANHANDLE","ENBRIDGE TRUNK E","M2","RPQ","R","100000","100000","55684","44316","Y","N","N","Y",""
"57336","PANHANDLE","ENERGAS DEL-GRAY","MQ","DPQ","D","50000","10000","184","9816","Y","N","N","Y",""
"53772","PANHANDLE","ENERGAS INTERCONNECT (STOCKER M M)","MQ","DPQ","D","500","500","2","498","N","N","N","Y",""
"78423","SAN JUAN","ENTERPRISE CHACO PLANT I/C","M2","RPQ","R","250000","210000","104160","105840","Y","N","N","Y",""
"78093","CENTRAL","ENTERPRISE EDDY","M2","RPQ","R","100000","100000","45900","54100","Y","N","N","Y",""
"79075","WEST TEXAS","ENTERPRISE SOUTH EDDY","M2","RPQ","R","200000","200000","53763","146237","Y","N","N","Y",""
"500515","WEST TEXAS","ENTERPRISE WAHA PECOS","MQ","DPQ","D","180000","180000","50000","130000","N","N","N","Y",""
"500515","WEST TEXAS","ENTERPRISE WAHA PECOS","M2","RPQ","R","150000","150000","74765","75235","Y","N","N","Y",""
"56943","WEST TEXAS","ENTERPRISE WARD","MQ","DPQ","D","155000","155000","60757","94243","Y","N","N","Y",""
"79063","WEST TEXAS","EOG PITCHFORK-DELIVERY","MQ","DPQ","D","10000","13500","10000","3500","Y","N","N","Y",""
"79072","WEST TEXAS","EOG RATTLESNAKE","MQ","DPQ","D","11720","13000","11000","2000","Y","N","N","Y",""
"100757","WEST TEXAS","EOG Red Hills","MQ","DPQ","D","55000","55000","34000","21000","Y","N","N","Y",""
"78269","WEST TEXAS","ETC BLK #16 FUEL","MQ","DPQ","D","1000","2000","1","1999","Y","N","N","Y",""
"79087","WEST TEXAS","ETC HALLEY","M2","RPQ","R","90000","90000","54943","35057","Y","N","N","Y",""
"100704","PANHANDLE","ETC ISAAC FUEL","MQ","DPQ","D","2000","2000","124","1876","Y","N","N","Y",""
"100701","WEST TEXAS","ETC PYOTE FUEL","MQ","DPQ","D","2000","2000","700","1300","Y","N","N","Y",""
"500607","WEST TEXAS","ETC PYOTE STATION  145","MQ","DPQ","D","1000","1000","250","750","Y","N","N","Y",""
"100705","WEST TEXAS","ETC RED HILLS FUEL","MQ","DPQ","D","8000","8000","5700","2300","Y","N","N","Y",""
"500392","WEST TEXAS","ETC WAHA FUEL (COMP 765)","MQ","DPQ","D","270","3000","1","2999","Y","N","N","Y",""
"78449","CENTRAL","FEAGAN CHAVES","M2","RPQ","R","50000","5000","1000","4000","Y","N","N","Y",""
"500134","W. THOREAU","FLAGSTAFF DELIVERY POINT","MQ","DPQ","D","31000","31000","18424","12576","N","N","N","Y",""
"10552","CENTRAL","FRONTIER MALJAMAR PLANT","M2","RPQ","R","75000","75000","56446","18554","Y","N","N","Y",""
"78480","PHOENIX","GILA RIVER PLANT","MQ","DPQ","D","485000","485000","167614","317386","N","N","N","Y",""
"78489","PHOENIX","GRAND AVENUE DELIVERY","MQ","DPQ","D","35000","43800","7135","36665","N","N","N","Y",""
"78069","W. THOREAU","GRIFFITH ENERGY DEL","MQ","DPQ","D","120000","120000","73095","46905","N","N","N","Y",""
"13315","PANHANDLE","H SIMONS #1","MQ","DPQ","D","3000","3000","24","2976","N","N","N","Y",""
"58444","PANHANDLE","I.S.I. FARM TAP-PARMER","MQ","DPQ","D","5000","11000","2350","8650","N","N","N","Y",""
"500239","CENTRAL","IACX BITTER LAKES","M2","RPQ","R","60000","59000","8828","50172","N","N","N","Y",""
"500238","CENTRAL","IACX RED BLUFF","M2","RPQ","R","40000","45000","6558","38442","N","N","N","Y",""
"56935","CENTRAL","INTEGRATED SERVICES DP-CHAVES","MQ","DPQ","D","3100","3100","2346","754","N","N","N","Y",""
